Scottie Scheffler
Jon Rahm
Rory McIlroy
Patrick Cantlay
Cameron Smith
Max Homa
Xander Schauffele
Will Zalatoris
Viktor Hovland
Justin Thomas
Collin Morikawa
Tony Finau
Matt Fitzpatrick
Jordan Spieth
Sam Burns
Cameron Young
Tyrrell Hatton
Sungjae Im
Tom Kim
Hideki Matsuyama
Kurt Kitayama
Keegan Bradley
Shane Lowry
Tom Hoge
Billy Horschel
Joaquin Niemann
Tommy Fleetwood
Brian Harman
Sahith Theegala
Abraham Ancer
Sepp Straka
Justin Rose
Seamus Power
Ryan Fox
Chris Kirk
Russell Henley
Jason Day
Adam Scott
Si Woo Kim
Corey Conners
Harris English
Thomas Pieters
Kyoung-Hoon Lee
Alex Noren
Min Woo Lee
Kevin Kisner
Keith Mitchell
Aaron Wise
Talor Gooch
Guillermo Mito Pereira
Harold Varner III
Adam Svensson
Adrian Meronk
J.T. Poston
Lucas Herbert
Taylor Montgomery
Denny McCarthy
Mackenzie Hughes
Rickie Fowler
Scott Stallings
Adam Hadwin
Dustin Johnson
Victor Perez
Davis Riley
Patrick Reed
Andrew Putnam
Davis Thompson
Christiaan Bezuidenhout
Maverick McNealy
Matt Kuchar
Dean Burmester
Nick Taylor
J.J. Spaun
Jason Kokrak
Ben Griffin
Cameron Davis
Justin Suh
Brendon Todd
Kazuki Higa
Thomas Detry
Trey Mullinax
Sadom Kaewkanjana
Adrian Otaegui
Kevin Na
Thriston Lawrence
Cameron Tringale
Danny Willett
Daniel Berger
Callum Shinkwin
Robert MacIntyre
Thorbjorn Olesen
Pablo Larrazabal
Adri Arnaus
Paul Casey
Marc Leishman
Jordan Smith
Joel Dahmen
Gary Woodland
Anirban Lahiri
Louis Oosthuizen
Luke List
Brooks Koepka
Taylor Moore
Brandon Wu
Benjamin Taylor
Sebastian Munoz
Richard Bland
Emiliano Grillo
Wyndham Clark
Hayden Buckley
Alex Smalley
Rasmus Hojgaard
Oliver Bekker
Yannik Paul
Matthew NeSmith
Taylor Pendrith
Scott Vincent
Robby Shelton IV
Brendan Steele
Aaron Rai
Erik van Rooyen
Francesco Molinari
Lucas Glover
Troy Merritt
William Gordon
Takumi Kanaya
David Lingmerth
Rikuya Hoshino
Matt Jones
Seonghyeon Kim
Bryson DeChambeau
Beau Hossler
Nicolai Hojgaard
Sam Horsfield
Stephan Jaeger
Antoine Rozner
Hudson Swafford
Yuki Inamori
Alexander Bjork
Chez Reavie
Patrick Rodgers
Jhonattan Vegas
Adam Schenk
Sergio Garcia
Sam Ryder
Ockie Strydom
Yuto Katsuragawa
Sebastian Soderberg
Bernd Wiesberger
Ian Poulter
Yechun Carl Yuan
Brad Kennedy
Mark Hubbard
Eric Cole
Lee Hodges
Shugo Imahira
Ewen Ferguson
Callum Tarren
Jorge Campillo
Bio Kim
MJ Daffue
Mikumu Horikawa
Kevin Streelman
Webb Simpson
David Lipsky
Marcel Schneider
Chun-an Yu
Haotong Li
Richie Ramsay
Ryo Hisatsune
Guido Migliozzi
Dylan Frittelli
Shaun Norris
Byeong Hun An
Henrik Stenson
Tomoharu Otsuki
Tyson Alexander
Paul Haley-II
Matthieu Pavon
Daniel Gavins
Matthew Wolff
John Huh
Cameron Champ
Phachara Khongwatmai
Garrick Higgo
Paul Waring(Feb1985)
Pierceson Coody
Joseph Bramlett
Chan Kim
Julien Brun
Nick Hardy
Laurie Canter
Lanto Griffin
Richard Mansell
Rafa Cabrera Bello
Kaito Onishi
Charl Schwartzel
Ryosuke Kinoshita
Jason Scrivener
Hurly Long
Bubba Watson
Russell Knox
Martin Laird
Ryan Palmer
Connor Syme
Stewart Cink
Chad Ramey
Shubhankar Sharma
Matt Wallace
Sami Valimaki
Greyson Sigg
Wu Ashun
Justin Lower
Sean Crocker
Austin Eckroat
Hennie Du Plessis
Harry Hall
Hideto Tanihara
Marcus Helligkilde
Matti Schmid
Branden Grace
Peter Malnati
Marty Dou Zecheng
Grant Forrest
Jinichiro Kozuma
Patton Kizzire
