name,thumbnailUrl,rarity,team,position,pp,lp,diff,diff_p,sale,link
Alexandr Romanov,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_alexandr__romanov_476676_legendary_thumbnail.png,Legendary,UFC,,700.0,1150.0,450.0,"(64.29,)",1175.0,https://marketplace.draftkings.com/listings/collectibles/31e37b96b66a4a6aae1a5da635b4ad0b/editions/2
Amanda Nunes,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatwaveR2_07-21-22/Thumbnails/set_summer2022_amanda_nunes_74894_elite_thumbnail.png,Elite,UFC,,150.0,235.56,85.56,"(57.04,)",,https://marketplace.draftkings.com/listings/collectibles/51e3e15871294bf8b1a252c79a99cb73/editions/38
Julianna Peña,https://marketplace.draftkings.com/_assets/collectibles/assets/76c7b017-e9b6-497c-ac37-4064cebe0728.png,Elite,UFC,,110.0,177.78,67.78,"(61.62,)",185.0,https://marketplace.draftkings.com/listings/collectibles/022610b02cdd48d18e16b91f90d056eb/editions/44
Julianna Peña,https://marketplace.draftkings.com/_assets/collectibles/assets/76c7b017-e9b6-497c-ac37-4064cebe0728.png,Elite,UFC,,111.12,177.78,66.66,"(59.99,)",,https://marketplace.draftkings.com/listings/collectibles/022610b02cdd48d18e16b91f90d056eb/editions/45
Francis Ngannou,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_francis__ngannou_202665_elite_thumbnail.png,Elite,UFC,,134.98,190.0,55.02,"(40.76,)",,https://marketplace.draftkings.com/listings/collectibles/2bb32fb4fab14b6e946c882c89ba1ad9/editions/24
Brandon Moreno,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatwaveR2_07-21-22/Thumbnails/set_summer2022_brandon_moreno_74900_elite_thumbnail.png,Elite,UFC,,184.0,238.0,54.0,"(29.35,)",,https://marketplace.draftkings.com/listings/collectibles/298ef6ace81045a592410d25b4d6dcba/editions/30
Aljamain Sterling,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatwaveR2_07-21-22/Thumbnails/set_summer2022_aljamain_sterling_202412_elite_thumbnail.png,Elite,UFC,,159.0,211.12,52.12,"(32.78,)",,https://marketplace.draftkings.com/listings/collectibles/b144dbf94a9640c98c5371f0c6382639/editions/48
Colby Covington,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_colby__covington_81455_elite_thumbnail.png,Elite,UFC,,150.0,199.0,49.0,"(32.67,)",,https://marketplace.draftkings.com/listings/collectibles/3fdf70be513c44428bff6912966e04c7/editions/49
Dustin Poirier,https://marketplace.draftkings.com/_assets/collectibles/assets/6e9da52d-de66-441c-8b83-a88d1c7425fd.png,Rare,UFC,,0,41.68,41.68,"(None,)",,https://marketplace.draftkings.com/listings/collectibles/c7c4f5de21b14dee885fd823704784d6/editions/63
Sergei Pavlovich,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatwaveR2_07-21-22/Thumbnails/set_summer2022_sergei_pavlovich_74806_elite_thumbnail.png,Elite,UFC,,120.0,157.0,37.0,"(30.83,)",,https://marketplace.draftkings.com/listings/collectibles/8452923c19d248599a724ff9da317ac8/editions/33
Colby Covington,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_colby__covington_81455_elite_thumbnail.png,Elite,UFC,,162.0,199.0,37.0,"(22.84,)",,https://marketplace.draftkings.com/listings/collectibles/3fdf70be513c44428bff6912966e04c7/editions/28
Paddy Pimblett,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_paddy__pimblett_595158_elite_thumbnail.png,Elite,UFC,,175.0,210.0,35.0,"(20.0,)",,https://marketplace.draftkings.com/listings/collectibles/25cb549326cb44949b15d53248fc6d6d/editions/29
Dustin Poirier,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatwaveR2_07-21-22/Thumbnails/set_summer2022_dustin_poirier_201880_elite_thumbnail.png,Elite,UFC,,149.0,180.0,31.0,"(20.81,)",,https://marketplace.draftkings.com/listings/collectibles/b7ffd7a924da4d638e3b8180ae2ec078/editions/36
Merab Dvalishvili,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_merab_dvalishvili_202891_elite_thumbnail.png,Elite,UFC,,169.0,199.0,30.0,"(17.75,)",,https://marketplace.draftkings.com/listings/collectibles/25900b8cb8374746b840ade35d430b45/editions/48
Leon Edwards,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_leon_edwards_202552_elite_thumbnail.png,Elite,UFC,,150.0,180.0,30.0,"(20.0,)",,https://marketplace.draftkings.com/listings/collectibles/173f9622baf94922867b1d491c6c8c38/editions/24
Drakkar Klose,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatwaveR2_07-21-22/Thumbnails/set_summer2022_drakkar_klose_202782_elite_thumbnail.png,Elite,UFC,,85.0,114.0,29.0,"(34.12,)",,https://marketplace.draftkings.com/listings/collectibles/0df7ca9b1cb84d96b8ae2ab56ba24959/editions/16
Marcin Tybura,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_marcin__tybura_202699_elite_thumbnail.png,Elite,UFC,,110.0,139.0,29.0,"(26.36,)",139.0,https://marketplace.draftkings.com/listings/collectibles/737107dc901f48bd9698b43d6b8725e7/editions/41
